year,y_true,y_prob,y_prob_lo,y_prob_hi,n_models,ci_width,tier,reliable
2011,0,0.5664,0.5,0.7375,5,0.2375,[ELEVATED],True
2012,0,0.3443,0.0396,0.5,5,0.4604,[LOW]     ,False
2013,0,0.4195,0.2412,0.5,5,0.2588,[ELEVATED],True
2014,0,0.3696,0.0942,0.5,5,0.4058,[LOW]     ,False
2015,1,0.4342,0.2882,0.5,5,0.2118,[ELEVATED],True
2016,1,0.5635,0.5,0.7121,5,0.2121,[ELEVATED],True
2017,1,0.3879,0.2067,0.5083,5,0.3016,[LOW]     ,True
2018,1,0.4864,0.2638,0.7984,5,0.5346,[ELEVATED],False
2019,0,0.5088,0.3599,0.7387,5,0.3788,[ELEVATED],True
2020,1,0.6636,0.4455,0.8411,5,0.3956,[HIGH]    ,True
2021,0,0.5806,0.5276,0.6271,5,0.0995,[ELEVATED],True
2022,1,0.5901,0.5288,0.6507,5,0.1219,[ELEVATED],True
2023,1,0.6119,0.5663,0.6699,5,0.1036,[HIGH]    ,True
2024,1,0.6737,0.6137,0.7365,5,0.1228,[HIGH]    ,True
2025,1,0.5714,0.541,0.5972,5,0.0562,[ELEVATED],True
2026,1,0.583,0.5113,0.6464,5,0.1351,[ELEVATED],True
